evidence,question_code,type,question_fr,question_en,evidence_rep,meaning_fr,meaning_en
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_lèvre_supérieure_D_,lèvre supérieure(D),upper lip(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_nez,nez,nose
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_nulle_part,nulle part,nowhere
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_palais,palais,palace
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_petite_lèvre_D_,petite lèvre(D),labia minora(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_petite_lèvre_G_,petite lèvre(G),labia minora(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_pénis,pénis,penis
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_scrotum,scrotum,scrotum
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_sous_la_langue,sous la langue,under the tongue
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_testicule_D_,testicule(D),testicle(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_testicule_G_,testicule(G),testicle(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_thorax_postérieur_D_,thorax postérieur(D),posterior chest wall(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_thorax_postérieur_G_,thorax postérieur(G),posterior chest wall(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_vagin,vagin,vagina
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_ventre,ventre,belly
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_épaule_D_,épaule(D),shoulder(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_épaule_G_,épaule(G),shoulder(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_épigastre,épigastre,epigastric
lesions_peau_intens,lesions_peau,C,Quelle est l’intensité de la douleur causée par les lésions?,How intense is the pain caused by the rash?,lesions_peau_intens_@_0,0,0
lesions_peau_intens,lesions_peau,C,Quelle est l’intensité de la douleur causée par les lésions?,How intense is the pain caused by the rash?,lesions_peau_intens_@_1,1,1
lesions_peau_intens,lesions_peau,C,Quelle est l’intensité de la douleur causée par les lésions?,How intense is the pain caused by the rash?,lesions_peau_intens_@_2,2,2
lesions_peau_intens,lesions_peau,C,Quelle est l’intensité de la douleur causée par les lésions?,How intense is the pain caused by the rash?,lesions_peau_intens_@_3,3,3
lesions_peau_intens,lesions_peau,C,Quelle est l’intensité de la douleur causée par les lésions?,How intense is the pain caused by the rash?,lesions_peau_intens_@_4,4,4
lesions_peau_intens,lesions_peau,C,Quelle est l’intensité de la douleur causée par les lésions?,How intense is the pain caused by the rash?,lesions_peau_intens_@_5,5,5
lesions_peau_intens,lesions_peau,C,Quelle est l’intensité de la douleur causée par les lésions?,How intense is the pain caused by the rash?,lesions_peau_intens_@_6,6,6
lesions_peau_intens,lesions_peau,C,Quelle est l’intensité de la douleur causée par les lésions?,How intense is the pain caused by the rash?,lesions_peau_intens_@_7,7,7
lesions_peau_intens,lesions_peau,C,Quelle est l’intensité de la douleur causée par les lésions?,How intense is the pain caused by the rash?,lesions_peau_intens_@_8,8,8
lesions_peau_plusqu1cm,lesions_peau,C,Est-ce que la ou les lésions sont plus grande que 1 cm?,Is the lesion (or are the lesions) larger than 1cm?,lesions_peau_plusqu1cm_@_N,N,N
lesions_peau_plusqu1cm,lesions_peau,C,Est-ce que la ou les lésions sont plus grande que 1 cm?,Is the lesion (or are the lesions) larger than 1cm?,lesions_peau_plusqu1cm_@_O,O,O
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_0,0,0
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_1,1,1
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_10,10,10
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_2,2,2
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_3,3,3
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_4,4,4
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_5,5,5
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_6,6,6
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_7,7,7
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_8,8,8
lesions_peau_prurit,lesions_peau,C,Quel est le niveau de la démangeaisons?,How severe is the itching?,lesions_peau_prurit_@_9,9,9
lymphoedème,lymphoedème,B,Vous a-t-on déjà retiré les ganglions lors d’une opération dans le passé?,Have you ever had surgery to remove lymph nodes?,lymphoedème,,
m79.7,m79.7,B,Souffrez-vous de fibromyalgie?,Do you suffer from fibromyalgia?,m79.7,,
malf_cardiaque,malf_cardiaque,B,Êtes-vous connu pour une malformation cardiaque?,Do you have a known heart defect?,malf_cardiaque,,
melena,melena,B,Avez-vous eu récemment des selles noires comme du charbon?,Have you recently had stools that were black (like coal)?,melena,,
menarche_hat,menarche_hat,B,Avez-vous eu vos premières menstruations avant l’âge de 12 ans?,Did you have your first menstrual period before the age of 12?,menarche_hat,,
momasthma,momasthma,B,Avez-vous une mère qui souffre d’asthme?,Does your mother suffer from asthma?,momasthma,,
move,move,B,"Faites-vous de l’activité physique régulièrement, soit 4 fois par semaine ou plus?","Do you exercise regularly, 4 times per week or more?",move,,
msk_dlr,msk_dlr,B,Avez-vous des douleurs musculaires diffuses?,Do you have diffuse (widespread) muscle pain?,msk_dlr,,
ménorr,ménorr,B,Avez-vous des menstruations très abondantes ou très longues?,Do you have very abundant or very long menstruation periods?,ménorr,,
naco,naco,B,Prenez-vous des nouveaux anticoagulants oraux?,Are you taking any new oral anticoagulants ((NOACs)?,naco,,
nau_psy_recent,nau_psy_recent,B,"Avez-vous été traité à l’hôpital récemment pour de la nausée, de l’agitation, une intoxication ou de l’agressivité et reçu un médicament via une voie intra-veineuse ou intra-musculaire?","Have you been treated in hospital recently for nausea, agitation, intoxication or aggressive behavior and received medication via an intravenous or intramuscular route?",nau_psy_recent,,
nausee,nausee,B,Avez-vous des nausées ou envie de vomir?,Are you feeling nauseous or do you feel like vomiting?,nausee,,
norvasc,norvasc,B,Prenez-vous un médicaments de la classe des bloqueurs des canaux calciques?,Do you take a calcium channel blockers (medication)?,norvasc,,
obstipation,obstipation,B,Passez-vous des selles ou des gaz depuis que vos symptômes sont pires?,Have you been able to pass stools or gas since your symptoms increased?,obstipation,,
oedeme,oedeme,B,Avez-vous de l’enflure à un ou plusieurs endroits sur votre corps?,Do you have swelling in one or more areas of your body?,oedeme,,
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_arrière_de_la_cheville_D_,arrière de la cheville(D),posterior aspect of the ankle(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_arrière_de_la_cheville_G_,arrière de la cheville(G),posterior aspect of the ankle(L)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_cheville_D_,cheville(D),ankle(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_cheville_G_,cheville(G),ankle(L)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_coté_lateral_du_pied_D_,coté lateral du pied(D),lateral side of the foot(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_coté_lateral_du_pied_G_,coté lateral du pied(G),lateral side of the foot(L)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_cuisse_D_,cuisse(D),thigh(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_cuisse_G_,cuisse(G),thigh(L)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_face_dorsale_du_pied_D_,face dorsale du pied(D),dorsal aspect of the foot(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_face_dorsale_du_pied_G_,face dorsale du pied(G),dorsal aspect of the foot(L)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_front,front,forehead
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_joue_D_,joue(D),cheek(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_joue_G_,joue(G),cheek(L)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_mollet_D_,mollet(D),calf(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_mollet_G_,mollet(G),calf(L)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_nez,nez,nose
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_nulle_part,nulle part,nowhere
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_orteil__1__D_,orteil (1)(D),toe (1)(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_orteil__1__G_,orteil (1)(G),toe (1)(L)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_orteil__2__D_,orteil (2)(D),toe (2)(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_plante_du_pied_D_,plante du pied(D),sole(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_plante_du_pied_G_,plante du pied(G),sole(L)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_tibia_D_,tibia(D),tibia(R)
oedeme_endroitducorps,oedeme,M,À quel endroit est situé l’enflure?,Where is the swelling located?,oedeme_endroitducorps_@_tibia_G_,tibia(G),tibia(L)
osteoporose,osteoporose,B,Êtes-vous traité pour de l’ostéoporose?,Are you being treated for osteoporosis?,osteoporose,,
pale,pale,B,Avez-vous un teint beaucoup plus pâle que d’habitude?,Is your skin much paler than usual?,pale,,
palpit,palpit,B,"Avez-vous l’impression que votre coeur bat vite, de façon irrégulière ou ressentez-vous des palpitations?","Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",palpit,,
paralysie_visage,paralysie_visage,B,"Avez-vous une faiblesse ou une paralysie d’un côté du visage, qui peut être encore présente ou complètement résolue?","Have you had weakness or paralysis on one side of the face, which may still be present or completely resolved?",paralysie_visage,,
paresthesies_bilat,paresthesies_bilat,B,"Avez-vous présentement ou avez-vous eu récemment des engourdissements, une perte de sensibilité ou des fourmillements, dans les mains, les pieds et autour de la bouche?","Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?",paresthesies_bilat,,
patho_endo,patho_endo,B,Avez-vous une maladie endocrinienne ou un dysfonctionnement hormonal?,Were you diagnosed with endocrine disease or a hormone dysfunction?,patho_endo,,
pdc,pdc,B,Avez-vous perdu conscience?,Did you lose consciousness?,pdc,,
perinatality,perinatality,B,Êtes-vous né de façon prématuré ou avez vous souffert de complications à la naissance?,Were you born prematurely or did you suffer any complication at birth?,perinatality,,
perte_appet,perte_appet,B,Avez-vous une perte d’appétit ou êtes-vous rassasié rapidement?,Have you recently had a loss of appetite or do you get full more quickly then usually?,perte_appet,,
perte_poids,perte_poids,B,Avez-vous eu une perte de poids involontaire dans les 3 derniers mois?,Have you had an involuntary weight loss over the last 3 months?,perte_poids,,
pertes_vag,pertes_vag,B,Avez-vous des pertes vaginales?,Have you had any vaginal discharge?,pertes_vag,,
pls_irreg,pls_irreg,B,Sentez-vous que votre cœur bat de façon très irrégulière ou désorganisée?,Do you feel your heart is beating very irregularly or in a disorganized pattern?,pls_irreg,,
pneumothorax,pneumothorax,B,Avez-vous des membres de votre famille qui ont déjà fait un pneumothorax?,Have any of your family members ever had a pneumothorax?,pneumothorax,,
posttus_emesis,posttus_emesis,B,Avez-vous eu des vomissements après des quintes de toux?,Did you vomit after coughing?,posttus_emesis,,
preg1,preg1,B,Croyez-vous être enceinte ou êtes vous présentement enceinte?,Do you think you are pregnant or are you currently pregnant?,preg1,,
protu_langue,protu_langue,B,Avez-vous de la difficulté à garder votre langue dans votre bouche?,Do you have trouble keeping your tongue in your mouth?,protu_langue,,
prurit_nasal,prurit_nasal,B,Avez-vous le nez et/ou le palais qui pique?,Is your nose or the back of your throat itchy?,prurit_nasal,,
prurit_occ,prurit_occ,B,Avez-vous des démangeaisons importantes au niveau d’un oeil ou des 2 yeux simultanément?,Do you have severe itching in one or both eyes?,prurit_occ,,
psy_depers,psy_depers,B,Avez-vous l’impression que vous êtes détaché de votre propre corps ou de l’environnement qui vous entoure?,Do you feel like you are detached from your own body or your surroundings?,psy_depers,,
ptose,ptose,B,Avez-vous de la misère à ouvrir/relever une ou les deux paupières?,Do you have a hard time opening/raising one or both eyelids?,ptose,,
pyrosis,pyrosis,B,Avez-vous une sensation de brûlure partant du creux de l’estomac et remontant vers la bouche avec même parfois un goût amer associé?,"Do you have a burning sensation that starts in your stomach then goes up into your throat, and can be associated with a bitter taste in your mouth?",pyrosis,,
rds_anorexie,rds_anorexie,B,Avez-vous remarqué une perte de poids involontaire ou une perte d’appétit qui semble en lien avec votre consultation aujourd’hui?,Have you been unintentionally losing weight or have you lost your appetite?,rds_anorexie,,
rds_deg,rds_deg,B,"Avez-vous de la fatigue, un malaise généralisé, un inconfort vague, des douleurs musculaires diffuses ou une atteinte de votre état général en lien avec votre consultation aujourd’hui?","Have you noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in your general well-being related to your consultation today?",rds_deg,,
rds_paralys_gen,rds_paralys_gen,B,"Avez-vous noté une faiblesse ou paralysie d’un ou plusieurs de vos membres ou au niveau du visage, encore présentes ou résolues?","Did you previously, or do you currently, have any weakness/paralysis in one or more of your limbs or in your face?",rds_paralys_gen,,
rds_paresthesie_gen,rds_paresthesie_gen,B,"Avez-vous présentement ou avez-vous eu récemment des engourdissements, une perte de sensibilité ou des fourmillements, n’importe où sur votre le corps?","Do you currently, or did you ever, have numbness, loss of sensitivity or tingling anywhere on your body?",rds_paresthesie_gen,,
rds_sg,rds_sg,B,Avez-vous remarqué des saignement ou des bleus inhabituels en lien avec votre consultation aujourd’hui?,Have you noticed any unusual bleeding or bruising related to your consultation today?,rds_sg,,
rectorragie,rectorragie,B,Avez-vous noté du sang rouge clair ou des caillots de sang dans vos selles?,Have you noticed light red blood or blood clots in your stool?,rectorragie,,
regard_dévié,regard_dévié,B,Êtes-vous incapable de contrôler la direction de votre regard?,Are you unable to control the direction of your eyes?,regard_dévié,,
rhino_clair,rhino_clair,B,Avez-vous de la congestion nasale ou le nez qui coule clair?,Do you have nasal congestion or a clear runny nose?,rhino_clair,,
rhino_pur,rhino_pur,B,Avez-vous un écoulement nasal coloré?,Do you have greenish or yellowish nasal discharge?,rhino_pur,,
rural,rural,B,Habitez-vous en à la campagne?,Do you live in a rural area?,rural,,
rx_vasodil,rx_vasodil,B,Prenez-vous un médicament qui vasodilate vos vaisseaux sanguins?,Do you take medication that dilates your blood vessels?,rx_vasodil,,
s09.90,s09.90,B,Avez-vous déjà eu un trauma crânien?,Have you ever had a head trauma?,s09.90,,
sahs,sahs,B,A-t-on déjà diagnostiqué chez vous un syndrome d’apnées hypopnées obstructives du sommeil (SAHOS)?,Have you ever been diagnosed with obstructive sleep apnea (OSA)?,sahs,,
scombroide,scombroide,B,Avez-vous mangé du poisson à chair foncé (tel que le thon) ou fromage suisse avant la réaction?,Did you eat dark-fleshed fish (such as tuna) or Swiss cheese before the reaction occurred?,scombroide,,
selles_pale,selles_pale,B,Avez-vous les selles pâles et les urines foncées?,Do you have pale stools and dark urine?,selles_pale,,
sex_vih,sex_vih,B,Avez-vous eu des relations sexuelles avec une partenaire séropositif dans les 12 derniers mois?,Have you had sexual intercourse with an HIV-positive partner in the past 12 months?,sex_vih,,
sialorhee,sialorhee,B,Avez-vous noté que vous produisez plus de salive que d’habitude?,Have you noticed that you produce more saliva than usual?,sialorhee,,
smokingpast,smokingpast,B,"Dans le passé, fumiez-vous la cigarette quotidiennement?",Are you a former smoker?,smokingpast,,
spasme_trapeze,spasme_trapeze,B,"Avez-vous l’impression qu’il y a des muscles spasmés ou endoloris, dans votre cou, qui vous empêchent de tourner votre tête d’un bord ou de l’autre?",Do you feel that muscle spasms or soreness in your neck are keeping you from turning your head to one side?,spasme_trapeze,,
spasmes_msk,spasmes_msk,B,"Avez-vous des spasmes musculaires très incommodants au niveau du visage, du cou ou de tout autre endroit de votre corps?","Do you have annoying muscle spasms in your face, neck or any other part of your body?",spasmes_msk,,
stridor,stridor,B,Avez-vous noté un bruit respiratoire aigu surtout à l’inspiration?,Have you noticed a high pitched sound when breathing in?,stridor,,
suburb,suburb,B,Habitez-vous en banlieue?,Do you live in the suburbs?,suburb,,
surg1,surg1,B,Avez-vous subi une intervention chirurgicale dans le dernier mois?,Have you had surgery within the last month?,surg1,,
synd_nephro,synd_nephro,B,Avez-vous un problème rénal qui se caractérise par la perte de protéines via les reins?,Do you have a known kidney problem resulting in an inability to retain proteins?,synd_nephro,,
tagri,tagri,B,Travaillez-vous dans le domaine de l’agriculture?,Do you work in agriculture?,tagri,,
tconst,tconst,B,Travaillez-vous dans le domaine de la construction?,Do you work in construction?,tconst,,
tmine,tmine,B,Travaillez-vous dans le domaine minier?,Do you work in the mining sector?,tmine,,
toux,toux,B,Avez-vous de la toux?,Do you have a cough?,toux,,
toux_Aboy,toux_Aboy,B,Avez-vous une toux aboyante?,Does the person have a whooping cough?,toux_Aboy,,
toux_sev,toux_sev,B,Avez-vous des quintes de toux intenses et dérangeantes?,Do you have intense coughing fits?,toux_sev,,
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_AfriqN,AfriqN,AfriqN
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_AfriqO,AfriqO,AfriqO
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_AfriqSS,AfriqSS,AfriqSS
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_AmerC,AmerC,AmerC
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_AmerN,AmerN,AmerN
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_AmerS,AmerS,AmerS
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_Asie,Asie,Asie
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_AsieSSE,AsieSSE,AsieSSE
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_Cara,Cara,Cara
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_Euro,Euro,Euro
trav1,trav1,C,Avez-vous voyagé dans les 4 dernières semaines?,Have you traveled out of the country in the last 4 weeks?,trav1_@_N,N,N
trismus,trismus,B,Avez-vous soudainement de la difficulté ou une incapacité à ouvrir la bouche ou même de la douleur au niveau de la mâchoire lors de l’ouverture de celle-ci?,Do you suddenly have difficulty or an inability to open your mouth or have jaw pain when opening it?,trismus,,
ulcères_bouche,ulcères_bouche,B,Avez-vous des ulcères ou des lésions ulcérées et douloureuses dans la bouche?,Do you have painful mouth ulcers or sores?,ulcères_bouche,,
urban1,urban1,B,Habitez-vous en dans une grande ville?,Do you live in in a big city?,urban1,,
v85.0,v85.0,B,"Avez-vous un IMC plus petit que 18.5, soit un poids plus petit que la normal?","Is your BMI less than 18.5, or are you underweight?",v85.0,,
vaccination,vaccination,B,Vos vaccins sont-ils à jour?,Are your vaccinations up to date?,vaccination,,
vo_sg,vo_sg,B,Avez-vous récemment remarqué du sang dans vos vomissements ou quelque chose qui ressemble à des grains de café?,Have you recently thrown up blood or something resembling coffee beans?,vo_sg,,
vo_violent,vo_violent,B,Avez-vous eu plusieurs vomissements ou fait plusieurs efforts pour vomir?,Have you vomited several times or have you made several efforts to vomit?,vo_violent,,
volume_parole,volume_parole,B,"Avez-vous remarqué que votre ton de voix a changé, soit diminué, s’est éteint ou est devenu plus grave?","Have you noticed that the tone of your voice has become deeper, softer or hoarse?",volume_parole,,
wakeup,wakeup,B,"Avez-vous pris récemment, en vente libre, des décongestionnant ou autres substances pouvant avoir des effets stimulants ?",Have you recently taken decongestants or other substances that may have stimulant effects?,wakeup,,
wheez,wheez,B,Avez-vous noté un un son aigu lorsque vous sortez l’air de vos poumons?,Have you noticed a wheezing sound when you exhale?,wheez,,
ww_bouffe,ww_bouffe,B,Avez-vous des symptômes qui sont pires après les repas?,Do you have symptoms that get worse after eating?,ww_bouffe,,
ww_bouger,ww_bouger,B,Avez-vous une douleur qui est pire lors des mouvements?,Do you have pain that is increased with movement?,ww_bouger,,
ww_dd,ww_dd,B,Vos symptômes sont-ils pire en position couchée et améliorés en position assise?,Are your symptoms worse when lying down and alleviated while sitting up?,ww_dd,,
ww_effort,ww_effort,B,Avez-vous des symptômes qui sont pires lors de l’effort physique et soulagés par le repos?,Do you have symptoms that are increased with physical exertion but alleviated with rest?,ww_effort,,
ww_nuit,ww_nuit,B,Ressentez vous davantage vos symptômes la nuit?,Are your symptoms more prominent at night?,ww_nuit,,
ww_respi,ww_respi,B,Avez-vous une douleur qui est pire à l’inspiration profonde?,Do you have pain that is increased when you breathe in deeply?,ww_respi,,
ww_valsalva,ww_valsalva,B,"Les symptômes ou la douleur sont-ils augmentés avec la toux, un effort comme lever un poids ou quand vous forcez pour aller à la selle?","Are the symptoms or pain increased with coughing, with an effort like lifting a weight or from forcing a bowel movement?",ww_valsalva,,
z77.22,z77.22,B,Êtes-vous en contact régulièrement avec de la fumée de cigarette sans être vous-même fumeur?,Are you exposed to secondhand cigarette smoke on a daily basis?,z77.22,,
z80.0,z80.0,B,Avez-vous des membre de votre famille proche qui sont atteints du cancer du pancréas?,Are there members of your family who have been diagnosed with pancreatic cancer?,z80.0,,
z80.1,z80.1,B,Avez-vous des membres de votre famille ayant eu le cancer des poumons?,Do you have family members who have had lung cancer?,z80.1,,
z82.49,z82.49,B,Avez-vous des membres de votre famille proche qui ont eu un problème de maladie cardiovasculaire avant l’âge de 50 ans?,Do you have close family members who had a cardiovascular disease problem before the age of 50?,z82.49,,
z84.89,z84.89,B,Êtes-vous susceptible de développer plus facilement que la population générale des allergies courantes?,Are you more likely to develop common allergies than the general population?,z84.89,,
z92.25,z92.25,B,Êtes-vous immunosupprimé?,Are you immunosuppressed?,z92.25,,
